fgname,class1,,,,
cation,wnn,,,,
anion,wnn,,,,
carbonyl compound,wne,,,,
aldehyde,wne,,,,
ketone,wne,,,,
thiocarbonyl compound,n,,,,
thioaldehyde,wne,,,,
thioketone,n,,,,
imine,wne,,,,
hydrazone,wnn,,,,
semicarbazone,wne,,,,
thiosemicarbazone,wne,,,,
oxime,wnn,,,,
oxime ether,wnn,,,,
ketene,wroe,,,,
ketene acetal derivative,wnn,,,,
carbonyl hydrate,wnn,,,,
hemiacetal,wnn,,,,
acetal,n,,,,
hemiaminal,wnn,,,,
aminal,wnn,,,,
thiohemiaminal,wnn,,,,
thioacetal,n,,,,
enamine,wnn,,,,
enol,wnn,,,,
enolether,n,,,,
hydroxy compound,wnn,,,,
alcohol,wnn,,,,
primary alcohol,wnn,,,,
secondary alcohol,wnn,,,,
tertiary alcohol,wnn,,,,
"1,2-diol",wnn,,,,
"1,2-aminoalcohol",wnn,,,,
phenol or hydroxyhetarene,wnn,,,,
"1,2-diphenol",wnn,,,,
enediol,wnn,,,,
ether,n,,,,
dialkylether,n,,,,
alkylarylether,n,,,,
diarylether,n,,,,
thioether,n,,,,
disulfide,n,,,,
peroxide,o,,,,
hydroperoxide,o,,,,
hydrazine derivative,wnn,,,,
hydroxylamine,wnn,,,,
amine,wnn,,,,
primary amine,wnn,,,,
primary aliphatic amine (alkylamine),wnn,,,,
primary aromatic amine,wnn,,,,
secondary amine,wnn,,,,
secondary aliphatic amine,wnn,,,,
secondary aliphatic/aromatic amine (alkylarylamine),wnn,,,,
secondary aromatic amine,wnn,,,,
tertiary amine,wnn,,,,
tertiary aliphatic amine,wnn,,,,
tertiary aliphatic/aromatic amine (alkylarylamine),wnn,,,,
tertiary arom_amine,wnn,,,,
quaternary ammonium salt,wnn,,,,
N-oxide,wnn,,,,
halogen derivative,wne,,,,
alkyl halide,wne,,,,
alkyl fluoride,wne,,,,
alkyl chloride,wne,,,,
alkyl bromide,wne,,,,
alkyl iodide,wne,,,,
aryl halide,n,,,,
aryl fluoride,n,,,,
aryl chloride,n,,,,
aryl bromide,n,,,,
aryl iodide,n,,,,
organometallic compound,wrn,,,,
organolithium compound,wrn,,,,
organomagnesium compound,wrn,,,,
carboxylic acid derivative,wne,,,,
carboxylic acid,wne,,,,
carboxylic acid salt,wne,,,,
carboxylic acid ester,n,,,,
lactone,wne,,,,
carboxylic acid amide,n,,,,
primary carboxylic acid amide,n,,,,
secondary carboxylic acid amide,n,,,,
tertiary carboxylic acid amide,n,,,,
lactam,wne,,,,
carboxylic acid hydrazide,n,,,,
carboxylic acid azide,wne,,,,
hydroxamic acid,wnn,,,,
carboxylic acid amidine,wnn,,,,
carboxylic acid amidrazone,wnn,,,,
nitrile,n,,,,
acyl halide,wroe,,,,
acyl fluoride,wroe,,,,
acyl chloride,wroe,,,,
acyl bromide,wroe,,,,
acyl iodide,wroe,,,,
acyl cyanide,wne,,,,
imido ester,wne,,,,
imidoyl halide,wne,,,,
thiocarboxylic acid derivative,n,,,,
thiocarboxylic acid,wne,,,,
thiocarboxylic acid ester,n,,,,
thiolactone,wne,,,,
thiocarboxylic acid amide,wnn,,,,
thiolactam,wne,,,,
imidothioester,wne,,,,
oxo(het)arene,wne,,,,
thioxo(het)arene,wne,,,,
imino(het)arene,n,,,,
orthocarboxylic acid derivative,wnn,,,,
carboxylic acid orthoester,n,,,,
carboxylic acid amide acetal,wnn,,,,
carboxylic acid anhydride,wroe,,,,
carboxylic acid imide,n,,,,
"carboxylic acid imide, N-unsubstituted",n,,,,
carboxylic acid substituted imide,n,,,,
CO2 derivative (general),wne,,,,
carbonic acid derivative,wne,,,,
carbonic acid monoester,wne,,,,
carbonic acid diester,n,,,,
carbonic acid ester halide,wroe,,,,
thiocarbonic acid derivative,wroe,,,,
thiocarbonic acid monoester,wne,,,,
thiocarbonic acid diester,wne,,,,
thiocarbonic acid ester halide,wroe,,,,
carbamic acid deriv,wnn,,,,
carbamic acid,wnn,,,,
carbamic acid ester (urethane),wnn,,,,
carbamic acid halide,wroe,,,,
thiocarbamic acid derivative,n,,,,
thiocarbamic acid,wnn,,,,
thiocarbamic acid ester,wnn,,,,
thiocarbamic acid halide,wroe,,,,
urea,n,,,,
isourea,n,,,,
thiourea,n,,,,
isothiourea,n,,,,
guanidine,wnn,,,,
semicarbazide,wnn,,,,
thiosemicarbazide,wnn,,,,
azide,wne,,,,
azo compound,wnn,,,,
diazonium salt,wnn,,,,
isonitrile,wnn,,,,
cyanate,wne,,,,
isocyanate,wroe,,,,
thiocyanate,wne,,,,
isothiocyanate,wne,,,,
carbodiimide,wroe,,,,
nitroso compound,wnn,,,,
nitro compound,n,,,,
nitrite,wnn,,,,
nitrate,wne,,,,
sulfuric acid derivative,n,,,,
sulfuric acid,wrie,,,,
sulfuric acid monoester,wne,,,,
sulfuric acid diester,wne,,,,
sulfuric acid amide ester,n,,,,
sulfuric acid amide,n,,,,
sulfuric acid diamide,n,,,,
sulfuryl halide,wroe,,,,
sulfonic acid derivative,n,,,,
sulfonic acid,wne,,,,
sulfonic acid ester,n,,,,
sulfonamide,n,,,,
sulfonyl halide,wroe,,,,
sulfone,n,,,,
sulfoxide,n,,,,
sulfinic acid derivative,n,,,,
sulfinic acid,wne,,,,
sulfinic acid ester,n,,,,
sulfinic acid halide,wroe,,,,
sulfinic acid amide,wnn,,,,
sulfenic acid derivative,n,,,,
sulfenic acid,wnn,,,,
sulfenic acid ester,n,,,,
sulfenic acid halide,wne,,,,
sulfenic acid amide,wnn,,,,
thiol,wnn,,,,
alkylthiol,wnn,,,,
arylthiol,wnn,,,,
phosphoric acid derivative,wnn,,,,
phosphoric acid,wrie,,,,
phosphoric acid ester,wnn,,,,
phosphoric acid halide,n,,,,
phosphoric acid amide,wnn,,,,
thiophosphoric acid derivative,wnn,,,,
thiophosphoric acid,wrie,,,,
thiophosphoric acid ester,wnn,,,,
thiophosphoric acid halide,n,,,,
thiophosphoric acid amide,wnn,,,,
phosphonic acid derivative,wnn,,,,
phosphonic acid,wne,,,,
phosphonic acid ester,wne,,,,
phosphine,wnn,,,,
phosphinoxide,wnn,,,,
boronic acid derivative,wne,,,,
boronic acid,wne,,,,
boronic acid ester,wne,,,,
alkene,n,,,,
alkyne,n,,,,
aromatic compound,n,,,,
heterocyclic compound,wnn,,,,
alpha-aminoacid,wnn,,,,
alpha-hydroxyacid,n,,,,
