fgname,class2,,,,
cation,Cation,,,,
anion,Anion,,,,
carbonyl compound,Ketone,,,,
aldehyde,Aldehyde,,,,
ketone,Ketone,,,,
thiocarbonyl compound,Thioketone,,,,
thioaldehyde,Thioaldehyde,,,,
thioketone,Thioketone,,,,
imine,Imine,,,,
hydrazone,Hydrazone,,,,
semicarbazone,"Urea, Imine",,,,
thiosemicarbazone,"Thiourea, Imine",,,,
oxime,Oxime,,,,
oxime ether,Oxime,,,,
ketene,Ketene,,,,
ketene acetal derivative,Ketene derivative,,,,
carbonyl hydrate,Alcohol,,,,
hemiacetal,"Ether, Alcohol",,,,
acetal,Ether,,,,
hemiaminal,"Ether, Amine",,,,
aminal,Amine,,,,
thiohemiaminal,"Thioether, Amine",,,,
thioacetal,Thioether,,,,
enamine,"Alkene, Amine",,,,
enol,"Alkene, Alcohol",,,,
enolether,"Alkene, Ether",,,,
hydroxy compound,Alcohol,,,,
alcohol,Alcohol,,,,
primary alcohol,Alcohol,,,,
secondary alcohol,Alcohol,,,,
tertiary alcohol,Alcohol,,,,
"1,2-diol","Alcohol, Alcohol",,,,
"1,2-aminoalcohol","Amine, Alcohol",,,,
phenol or hydroxyhetarene,Phenol,,,,
"1,2-diphenol","Phenol, Phenol",,,,
enediol,"Alkene, Alcohol, Alcohol",,,,
ether,Ether,,,,
dialkylether,Ether,,,,
alkylarylether,Ether,,,,
diarylether,Ether,,,,
thioether,Thioether,,,,
disulfide,Disulfide,,,,
peroxide,Peroxide,,,,
hydroperoxide,Peroxide,,,,
hydrazine derivative,Hydrazine derivative,,,,
hydroxylamine,"Amine, Ether",,,,
amine,Amine,,,,
primary amine,Amine,,,,
primary aliphatic amine (alkylamine),Amine,,,,
primary aromatic amine,Amine,,,,
secondary amine,Amine,,,,
secondary aliphatic amine,Amine,,,,
secondary aliphatic/aromatic amine (alkylarylamine),Amine,,,,
secondary aromatic amine,Amine,,,,
tertiary amine,Amine,,,,
tertiary aliphatic amine,Amine,,,,
tertiary aliphatic/aromatic amine (alkylarylamine),Amine,,,,
tertiary arom_amine,Amine,,,,
quaternary ammonium salt,Amine salt,,,,
N-oxide,Amine oxide,,,,
halogen derivative,Halogen,,,,
alkyl halide,Halogen,,,,
alkyl fluoride,Halogen,,,,
alkyl chloride,Halogen,,,,
alkyl bromide,Halogen,,,,
alkyl iodide,Halogen,,,,
aryl halide,Halogen,,,,
aryl fluoride,Halogen,,,,
aryl chloride,Halogen,,,,
aryl bromide,Halogen,,,,
aryl iodide,Halogen,,,,
organometallic compound,Organometallic,,,,
organolithium compound,Organometallic,,,,
organomagnesium compound,Organometallic,,,,
carboxylic acid derivative,Carboxylic acid derivative,,,,
carboxylic acid,Carboxylic acid,,,,
carboxylic acid salt,Carboxylic acid,,,,
